country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Afghanistan,4.91,5.03,5,4.95,5.03,4.97,4.91,4.8,4.61,4.39,4.27,4.12,4.01,4.01,3.97,3.93,4.01,4.06,4.06,4.13
Albania,,4.51,4.61,4.81,4.79,7.47,7.77,8.07,8.18,8.11,7.83,7.9,5.18,5.26,4.76,4.95,4.69,4.67,4.52,4.34
Algeria,,4.47,4.38,4.1,3.98,3.85,3.69,3.51,3.36,3.19,3.03,2.95,2.9,2.85,2.68,2.76,2.55,2.46,2.48,2.49
Angola,,8.63,8.55,8.75,8.56,8.06,8.55,7.39,7.54,6.69,6.97,6.58,6.93,6.92,6.47,6.38,6.23,6.02,6,6.08
Antigua and Barbuda,,1.87,1.28,1.26,1.73,1.27,0.47,0.358,0.277,0,0.156,0.169,0,0,0.439,0.441,0.536,0,0.38,0.392
Argentina,,10.2532,10.2427,9.7,8.72,8.62,8.6,8.25,8.67,8.44,8.55,8.53,9.13,8.56,8.3,9.27,8.27,8.86,9.17,8.37
Armenia,,3.13,3.45,2.62,4.02,4.24,5.87,5.76,4.81,4.77,6.75,6.8,7.44,6.36,6.15,6.26,5.71,2.99,2.08,3.32
Australia,12.7003,12.1502,11.3238,10.4808,10.2533,11.1757,10.6457,10.8792,11.5762,11.2385,11.6844,11.2193,11.7423,11.5112,13.2249,12.6557,12.1697,13.1345,12.4461,12.4975
Austria,,18.5867,19.3274,18.2126,17.4691,17.2416,16.371,15.9659,15.8295,15.9733,16.1152,16.4527,16.2882,16.2247,15.9957,16.5112,15.5302,15.3502,15.7422,14.5966
Azerbaijan,,3.43,3.6,3.77,4.28,4.5,4.71,4.9,4.74,4.64,4.55,4.5,4.38,4.27,4.07,4.17,3.99,3.98,4.03,4.09
Bahamas,,2.54,2.27,2.35,3.2,3.02,3.46,3.22,3.31,3.3,3.59,3.69,3.5,3.13,3.46,3.28,3.57,3.39,3.54,3.54
Bahrain,6.59,8.83,9.19,10.1889,10.1982,10.2926,8.19,9.57,9.19,8.55,8.18,7.92,7.4,7.11,7.39,7.42,7.66,8.08,8.56,8.86
Bangladesh,,5.67,5.34,5.07,4.86,4.93,4.98,4.9,4.73,4.58,4.38,3.96,3.67,3.5,3.41,3.47,3.39,3.48,3.56,3.68
Barbados,,1.57,0.339,1.21,1.42,2.88,1.63,1.49,0.964,1.48,1.62,0.977,0.479,0.344,0.601,0.606,0.622,0.615,0.616,0.618
Belarus,,43.2647,44.2848,42.9008,42.0608,43.5166,40.9358,36.7886,36.7094,36.5354,35.9045,36.2375,29.9394,27.8672,24.3313,26.3278,24.1926,23.2719,22.7991,21.2007
Belgium,,22.2892,20.9205,21.4953,20.2023,20.7104,20.2412,18.723,20.3247,20.6212,20.5172,21.1255,20.8403,19.5197,18.5986,19.439,19.2655,18.907,18.6592,18.2944
Belize,,6.01,6.12,6.27,6.91,5.41,5.62,5.2,4.37,6.16,6.89,6.76,6.28,5.85,5.97,5.95,5.84,6.99,6.5,7.07
Benin,,8.82,8.82,8.77,8.8,8.7,8.63,8.48,8.24,8.46,8.41,8.45,8.33,8.3,8.06,8.21,8.03,7.96,7.92,7.81
Bhutan,,4.86,4.65,4.64,4.54,4.5,4.45,4.37,4.32,4.28,4.23,4.27,4.33,4.4,4.49,4.44,4.47,4.59,4.61,4.6
Bolivia (Plurinational State of),,6.61,6.56,6.42,6.3,6.25,5.9,6.1,5.98,6,6.04,6.11,6,6.01,6.38,6.18,6.63,6.44,6.3,6.21
Bosnia and Herzegovina,,9.38,9.75,9.86,9.95,10.752,10.6851,11.5131,10.8165,10.7196,10.5378,10.638,10.3937,10.5996,10.7107,10.6074,10.5086,10.5259,10.7581,10.9285
Botswana,,34.4992,32.7485,31.2388,31.8375,34.015,32.0469,29.3262,28.4314,25.1239,24.3897,22.6739,22.6114,21.5816,19.045,19.6017,17.7642,17.4303,17.4228,16.0547
Brazil,,4.42,4.36,4.34,4.42,4.66,4.67,4.86,5.09,5.13,4.99,5.23,5.39,5.58,5.87,5.62,5.99,6.58,6.96,6.89
Brunei Darussalam,1.85,1.33,1.59,1.63,1.93,2.17,2.91,2.58,2.09,1.75,1.27,1.9,2.13,1.78,1.88,1.79,2.56,3.32,3.14,2.7
Bulgaria,,17.4589,17.4624,15.065,14.229,13.25,13.3709,12.4657,13.1746,12.3337,12.3531,11.0106,12.5411,10.504,9.83,10.4455,9.65,10.2905,9.67,9.73
Burkina Faso,,8.24,7.98,7.91,7.95,7.99,8.08,8.06,7.96,7.97,8.03,7.86,8.26,8.27,7.96,8.04,7.84,7.7,7.64,7.48
