country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Antigua and Barbuda,,1.87,1.28,1.26,1.73,1.27,0.47,0.358,0.277,0,0.156,0.169,0,0,0.439,0.441,0.536,0,0.38,0.392
Argentina,,10.2532,10.2427,9.7,8.72,8.62,8.6,8.25,8.67,8.44,8.55,8.53,9.13,8.56,8.3,9.27,8.27,8.86,9.17,8.37
Australia,12.7003,12.1502,11.3238,10.4808,10.2533,11.1757,10.6457,10.8792,11.5762,11.2385,11.6844,11.2193,11.7423,11.5112,13.2249,12.6557,12.1697,13.1345,12.4461,12.4975
Austria,,18.5867,19.3274,18.2126,17.4691,17.2416,16.371,15.9659,15.8295,15.9733,16.1152,16.4527,16.2882,16.2247,15.9957,16.5112,15.5302,15.3502,15.7422,14.5966
Bahamas,,2.54,2.27,2.35,3.2,3.02,3.46,3.22,3.31,3.3,3.59,3.69,3.5,3.13,3.46,3.28,3.57,3.39,3.54,3.54
Bahrain,6.59,8.83,9.19,10.1889,10.1982,10.2926,8.19,9.57,9.19,8.55,8.18,7.92,7.4,7.11,7.39,7.42,7.66,8.08,8.56,8.86
Barbados,,1.57,0.339,1.21,1.42,2.88,1.63,1.49,0.964,1.48,1.62,0.977,0.479,0.344,0.601,0.606,0.622,0.615,0.616,0.618
Belgium,,22.2892,20.9205,21.4953,20.2023,20.7104,20.2412,18.723,20.3247,20.6212,20.5172,21.1255,20.8403,19.5197,18.5986,19.439,19.2655,18.907,18.6592,18.2944
Brunei Darussalam,1.85,1.33,1.59,1.63,1.93,2.17,2.91,2.58,2.09,1.75,1.27,1.9,2.13,1.78,1.88,1.79,2.56,3.32,3.14,2.7
Canada,,12.2488,11.9462,12.4284,11.712,12.1877,11.2253,11.4745,11.5496,11.9852,12.0529,11.2693,11.7759,12.0905,12.9932,12.7077,11.8649,13.0454,11.9896,11.8057
Chile,,10.2735,9.64,9.73,10.1286,9.68,10.0398,10.9854,12.2191,12.6693,11.6098,11.6769,10.5201,9.8,9.97,9.85,9.99,9.27,8.81,8.97
Croatia,,19.7416,19.5246,19.7449,20.2098,20.062,18.2539,18.1012,18.3984,18.3059,18.3446,16.4482,18.3914,16.489,17.6053,17.2718,16.4292,15.6835,16.3861,16.3697
Cyprus,,2.1,2.16,2.21,0.871,2.6,3.49,3.14,6.1,4.45,5.29,4.26,5.39,5.73,4.7,5.36,4.63,3.69,4.16,3.64
Czechia,,16.2111,15.3547,17.0341,16.346,15.7979,14.4506,14.1499,14.1592,14.9709,15.0393,16.0637,16.7004,15.6901,13.5699,14.8151,12.9938,13.9276,13.5563,12.1774
Denmark,,15.8185,14.9022,13.6317,14.2267,14.8065,14.7169,12.6134,13.147,12.8688,11.7973,12.5667,12.8035,12.1265,10.9294,11.9822,10.8706,11.3453,11.3681,10.6956
Estonia,,30.2906,29.334,26.3467,26.5491,22.6326,20.8582,21.3714,19.4395,23.3087,18.7913,18.2353,21.0896,18.9332,15.8892,19.545,15.73,18.7438,15.3427,14.8911
Finland,,24.1261,22.0358,21.7234,21.2457,19.921,21.034,19.6881,20.5753,20.4024,18.5722,17.9436,16.9529,17.224,14.0316,15.4346,15.2422,15.926,16.1713,15.2946
France,,19.4566,19.811,20.1022,19.4706,19.124,18.459,17.946,18.246,18.4191,18.2401,18.0141,17.7816,16.9693,15.8383,15.6323,14.8874,14.6198,14.2124,13.7586
Germany,,14.5102,14.5501,14.3913,13.9976,13.304,12.769,12.3555,12.5216,12.7577,13.239,13.2195,12.8716,13.4192,13.2667,13.3754,13.0238,12.5764,12.883,12.3139
Greece,,3.05,2.91,3.31,3.13,3.65,3.65,2.99,3.37,3.59,3.48,4.37,4.77,5.01,5.04,5.33,4.67,5.11,5.06,5.09
Hungary,,29.844,28.585,28.0149,27.4882,26.3851,24.9489,24.9855,25.3917,25.3587,25.5199,25.1392,24.8001,22.0971,19.9425,20.4447,18.716,17.458,17.7308,16.6483
Iceland,,12.7794,12.2251,12.4559,12.3873,11.8491,12.4616,14.7985,14.8345,14.2788,12.7549,11.5929,13.4962,13.8579,14.2571,15.7359,12.9736,12.1932,10.8088,11.8688
Ireland,,13.1866,12.2218,12.0898,11.9403,11.8342,10.9221,11.4555,12.2195,14.0308,11.9327,12.5034,12.3721,11.3681,9.31,10.9768,10.0167,10.0021,9.86,9.62
Israel,,6.37,5.86,6.4,6.13,6.73,5.47,5.16,5.27,5.95,6.66,5.65,6.07,5.2,4.54,5.13,5.2,5.14,5.4,5.32
