country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,11.78651383,11.94657151,11.88790938,11.92086281,12.16208505,12.13692108,12.11309337,11.97140032,11.69772866,11.43008304,11.29117046,11.0996373,10.96217857,11.09005261,11.16372089,10.99998237,11.27103235,11.44522782,11.48502181,11.70824748
Albania,26.30688262,28.69741723,27.82410098,27.83025282,28.76427705,36.74826553,36.31009098,38.02476652,39.36479276,40.1970498,40.17354149,41.06438896,35.99301819,38.04660347,35.1103394,36.60633401,37.10234631,38.2248604,38.32762659,38.08350467
Algeria,25.65245979,25.792127,25.66162164,24.08255736,23.687191,23.25879243,22.6493893,21.91661073,21.337235,20.57301324,19.93390889,19.64800107,19.57869352,19.65720592,18.74397203,19.2709708,17.97796536,17.48261688,17.82986142,17.96698836
Angola,30.40537592,30.40838496,30.4762638,31.06443438,30.48570929,29.76683996,31.26245471,28.80005861,29.2585329,27.65060383,28.32888823,27.64453829,28.63764168,28.88840185,28.32203954,27.97584255,27.62542408,27.25274248,27.20863856,27.329589
Antigua and Barbuda,10.2672067,10.30024952,6.70491963,6.786858702,9.443968607,7.31298902,2.673897188,1.783826178,1.400035683,0,0.870983843,0.962473774,0,0,2.42118999,2.445550457,3.028532619,0,2.147041857,2.234073959
Argentina,44.69312114,50.77822438,50.40371393,48.39210979,45.12408866,45.84813735,46.93049975,43.86601564,48.19743269,47.2859596,48.07700418,48.58281148,52.61568535,50.25960613,50.40558275,56.65895526,49.3486515,54.73477419,57.10179438,53.24200559
Armenia,12.75630923,11.95513425,13.29638096,10.13617291,15.49373564,16.52278722,22.89452294,22.72395523,18.00388899,18.01706522,26.95714892,28.89006904,32.1325242,28.68525465,27.60589554,28.45332972,26.30097714,14.03076068,10.4045572,16.65887246
Australia,98.11128647,96.58761187,92.38028653,88.87456753,89.26943641,98.36465255,97.73682292,102.2055667,110.5777819,111.6084286,118.2548992,114.9562022,125.6617621,123.3489995,142.6294271,136.2539189,135.721965,150.8958165,142.783721,145.5674013
Austria,129.8072909,126.4272353,138.8800865,133.130316,132.4697207,134.876393,130.6842583,130.2795324,130.7484034,129.0635092,129.7360309,134.4117734,135.8849264,137.0726486,138.1947774,140.9635366,138.2385274,141.9166355,144.1143379,140.7875523
Azerbaijan,9.606020758,10.74257165,11.3087454,11.77611267,13.35145138,14.01939911,14.94080302,15.93404217,15.46031624,15.31507297,15.24713597,15.24264255,14.96015067,14.87436388,14.35067767,14.67281212,14.13621358,14.12930802,14.68480684,15.03668731
Bahamas,11.68935342,12.27365021,11.68572504,11.98597997,15.03936083,15.00182059,16.8512758,16.23249776,16.41736412,16.22678157,17.42413947,17.97796165,17.63719978,16.40926489,17.83468382,17.43857157,18.34107306,17.70211877,17.89265921,17.79058968
Bahrain,21.37839731,29.22371165,31.75059442,36.6428109,38.76879003,41.5226114,36.15641823,44.71147781,45.89515529,45.10885479,44.9807677,44.99923297,43.24989027,42.38935246,44.98724043,44.56793727,47.05792733,50.01008867,53.19413373,55.17079908
Bangladesh,25.98335603,24.81677386,23.34424188,22.11681956,21.30372671,21.16066914,21.03788594,20.97459976,20.82099884,20.70177199,20.37318275,19.62775662,18.88992117,18.38171576,18.3739635,18.49955297,18.30346826,18.50206633,18.86930462,19.48329043
Barbados,15.48483428,9.603257033,2.024306003,7.24411655,8.351624567,17.26302009,9.754334395,8.882408241,5.78385309,9.082172799,9.983428741,6.084369088,3.096615703,2.233402218,3.860817838,3.84785847,3.963767848,3.925661378,3.906049367,3.872857473
Belarus,125.8955985,125.2611858,124.4358774,124.1968968,124.8669269,127.5111581,125.0639285,119.3858292,118.8765898,119.1353739,116.7540207,118.1514543,108.983373,105.4801038,98.70605827,102.3285281,98.30358199,96.0118918,93.71955536,89.26268509
Belgium,143.0997052,147.9871302,139.3147105,148.2312831,147.9369538,150.7938184,151.0068516,142.9094823,153.7281033,160.5672319,158.5088861,167.6113508,170.8453773,164.1494456,161.9936121,169.2610036,173.4852291,171.7453587,172.9835566,173.1694504
Belize,31.53591424,29.54837206,31.74675633,33.40557889,36.0576045,29.76557273,31.16847392,29.70953219,26.84448321,36.07615583,40.39477834,40.8254224,38.56892107,36.35757959,36.45961838,36.25634638,36.47446787,43.27297197,40.41805954,42.93273709
Benin,34.63474951,34.81807556,34.90934652,34.83798747,35.07969069,34.97906483,34.9278596,34.61644126,34.1307955,34.90120607,34.86478599,35.04159375,34.70023661,34.81134766,34.3098735,34.70235021,34.40009322,34.36642728,34.59176908,34.52063392
Bhutan,20.92320275,21.4138612,20.9860179,21.16967954,21.09395872,21.19129951,21.28930927,21.23984303,21.41262879,21.55537111,21.80416867,22.16279847,22.52301457,23.05556443,23.79786339,23.37057361,24.2129439,24.48935167,24.77704689,24.91932369
Bolivia (Plurinational State of),33.05579635,32.78529156,33.14247779,33.18244452,33.28390058,33.48292612,32.34009059,33.29897898,32.94972797,33.23285932,33.56661389,33.80438162,33.3963411,33.3473344,35.136183,34.09134163,36.34603398,35.69815107,35.07595894,34.72313472
Bosnia and Herzegovina,41.14799258,42.90538037,44.55590784,45.86187297,47.14413169,49.59947227,50.63685257,52.45635585,52.40534552,52.23635494,52.52915379,54.0112135,54.35697255,55.37297457,55.67988705,55.82753957,55.84096754,56.4138844,57.3139923,58.38806519
Botswana,91.91001614,90.22873384,86.69445252,83.49878703,85.64531983,92.55817573,90.79300988,86.94218826,85.42832247,79.13154017,77.93229872,73.05915033,72.95070728,70.2141144,64.22136526,64.99584361,61.48254184,61.12148097,61.80684669,59.39014375
